poll_id,register_tse,institute,poll_date,matchup,candidate1,percent1,candidate2,percent2
BR-03627/2026,BR-03627/2026,Real Time Big Data,2026-05-05,Caiado vs Lula,Ronaldo Caiado,42,Lula,43
Meio/Ideia-2026-05-06,,Meio/Ideia,2026-05-06,Flávio vs Lula,Flávio Bolsonaro,45.3,Lula,44.7
Paraná Pesquisas-2026-05-07,,Paraná Pesquisas,2026-05-07,Flávio vs Lula (SP),Flávio Bolsonaro,48.1,Lula,40.3
Quaest/Genial-2026-05-13,,Quaest/Genial,2026-05-13,Flávio vs Lula,Lula,,Flávio Bolsonaro,
BR-00290/2026,BR-00290/2026,Datafolha,2026-05-15,Flávio vs Lula,Flávio Bolsonaro,46,Lula,45
BR-00290/2026,BR-00290/2026,Datafolha,2026-05-15,Caiado vs Lula,Ronaldo Caiado,42,Lula,45
BR-00290/2026,BR-00290/2026,Datafolha,2026-05-15,Zema vs Lula,Romeu Zema,42,Lula,45
AtlasIntel-2026-05-19,,AtlasIntel,2026-05-19,Lula vs Flávio,Lula,48.9,Flávio,41.8
Vox Brasil-2026-05-20,,Vox Brasil,2026-05-20,Lula vs Flávio,Lula,46.8,Flávio,38.1
Datafolha-2026-05-22,,Datafolha,2026-05-22,Lula vs Flávio,Lula,47,Flávio Bolsonaro,43
Datafolha-2026-05-22,,Datafolha,2026-05-22,Lula vs Michelle,Lula,48,Michelle Bolsonaro,43
Indexa Pesquisas-2026-05-27,,Indexa Pesquisas,2026-05-27,Lula vs Flávio,Lula,46,Flávio Bolsonaro,41
BR-02918/2026,BR-02918/2026,Meio/Ideia,2026-05-28,Lula vs Flávio,Lula,46.5,Flávio Bolsonaro,41.4
BR-05864/2026,BR-05864/2026,Real Time Big Data,2026-06-01,Lula vs Flávio,Lula,45,Flávio Bolsonaro,40
BR-05864/2026,BR-05864/2026,Real Time Big Data,2026-06-01,Lula vs Caiado,Lula,43,Ronaldo Caiado,43
BR-05864/2026,BR-05864/2026,Real Time Big Data,2026-06-01,Lula vs Zema,Lula,43,Romeu Zema,40
BR-08016/2026,BR-08016/2026,Vox Brasil,2026-06-05,Lula vs Flávio,Lula,47.8,Flávio Bolsonaro,41.3
Quaest/Genial-2026-06-10,,Quaest/Genial,2026-06-10,Lula vs Flávio,Lula,44,Flávio Bolsonaro,38
BR-06645/2026,BR-06645/2026,BTG/Nexus,2026-06-15,Lula vs Flávio,Lula,49,Flávio Bolsonaro,43
BR-04256/2026,BR-04256/2026,CNT/MDA,2026-06-16,Lula vs Flávio,Lula,49.3,Flávio Bolsonaro,36.8
BR-01461/2026,BR-01461/2026,Futura/Apex,2026-06-16,Lula vs Flávio,Lula,48.1,Flávio Bolsonaro,42.9
BR-09956/2026,BR-09956/2026,Datafolha,2026-06-20,Lula vs Flávio,Lula,47,Flávio Bolsonaro,43
BR-09956/2026,BR-09956/2026,Datafolha,2026-06-20,Lula vs Caiado,Lula,47,Ronaldo Caiado,41
BR-09956/2026,BR-09956/2026,Datafolha,2026-06-20,Lula vs Zema,Lula,48,Romeu Zema,39
Indexa Pesquisas-2026-06-23,,Indexa Pesquisas,2026-06-23,Lula vs Flávio,Lula,47,Flávio Bolsonaro,40
Gerp-2026-06-24,,Gerp,2026-06-24,Lula vs Flávio,Lula,40,Flávio Bolsonaro,42
PoderData/Aya-2026-06-25,,PoderData/Aya,2026-06-25,Lula vs Flávio,Lula,46,Flávio Bolsonaro,43
Vox Brasil-2026-06-27,,Vox Brasil,2026-06-27,Lula vs Flávio,Lula,45.3,Flávio Bolsonaro,42.8
BR-08521/2026,BR-08521/2026,BTG/Nexus,2026-06-29,Lula vs Flávio,Lula,47,Flávio Bolsonaro,44
BR-04582/2026,BR-04582/2026,AtlasIntel,2026-07-01,Lula vs Flávio,Lula,48.8,Flávio Bolsonaro,42.3
BR-05628/2026,BR-05628/2026,Ideia/Canal Meio,2026-07-08,Lula vs Flávio,Lula,45,Flávio Bolsonaro,40
BR-05628/2026,BR-05628/2026,Ideia/Canal Meio,2026-07-08,Lula vs Michelle,Lula,45,Michelle Bolsonaro,36
BR-03067/2026,BR-03067/2026,Gerp,2026-07-08,Lula vs Flávio,Lula,42,Flávio Bolsonaro,45
BR-03067/2026,BR-03067/2026,Gerp,2026-07-08,Lula vs Michelle,Lula,45,Michelle Bolsonaro,41
BR-03067/2026,BR-03067/2026,Gerp,2026-07-08,Lula vs Caiado,Lula,40,Ronaldo Caiado,36
BR-03067/2026,BR-03067/2026,Gerp,2026-07-08,Lula vs Zema,Lula,41,Romeu Zema,36
BR-03067/2026,BR-03067/2026,Gerp,2026-07-08,Lula vs Damares,Lula,41,Damares Alves,34
BR-03067/2026,BR-03067/2026,Gerp,2026-07-08,Lula vs Marcos Pontes,Lula,42,Marcos Pontes,34
BR-03067/2026,BR-03067/2026,Gerp,2026-07-08,Lula vs Rogério Marinho,Lula,41,Rogério Marinho,32
BR-03067/2026,BR-03067/2026,Gerp,2026-07-08,Lula vs Renan Santos,Lula,41,Renan Santos,30
BR-07981/2026,BR-07981/2026,BTG/Nexus,2026-07-13,Lula vs Flávio,Lula,47,Flávio Bolsonaro,44
BR-07294/2026,BR-07294/2026,Futura/Apex,2026-07-14,Lula vs Flávio,Lula,46.3,Flávio Bolsonaro,46.1
BR-07181/2026,BR-07181/2026,Quaest/Genial,2026-07-15,Lula vs Flávio,Lula,45,Flávio Bolsonaro,37
Quaest/Genial-2026-07-15,,Quaest/Genial,2026-07-15,Lula vs Flávio,Lula,45,Flávio Bolsonaro,37
BR-00059/2026,BR-00059/2026,PoderData/Aya,2026-07-16,Lula vs Flávio,Lula,45,Flávio Bolsonaro,43
BR-02904/2026,BR-02904/2026,Indexa Pesquisas,2026-07-21,Lula vs Flávio,Lula,46,Flávio Bolsonaro,39
BR-09247/2026,BR-09247/2026,Real Time Big Data,2026-07-21,Lula vs Flávio,Lula,45,Flávio Bolsonaro,42
BR-09247/2026,BR-09247/2026,Real Time Big Data,2026-07-21,Lula vs Caiado,Lula,43,Ronaldo Caiado,44
BR-09247/2026,BR-09247/2026,Real Time Big Data,2026-07-21,Lula vs Renan Santos,Lula,44,Renan Santos,35
BR-05026/2026,BR-05026/2026,Gerp,2026-07-22,Lula vs Flávio,Lula,45,Flávio Bolsonaro,46
BR-05026/2026,BR-05026/2026,Gerp,2026-07-22,Lula vs Caiado,Lula,44,Ronaldo Caiado,41
BR-05026/2026,BR-05026/2026,Gerp,2026-07-22,Lula vs Zema,Lula,44,Romeu Zema,38
BR-05026/2026,BR-05026/2026,Gerp,2026-07-22,Lula vs Renan Santos,Lula,45,Renan Santos,35
BR-01166/2026,BR-01166/2026,Datafolha,2026-07-24,Lula vs Flávio,Lula,48,Flávio Bolsonaro,43
BR-01166/2026,BR-01166/2026,Datafolha,2026-07-24,Lula vs Caiado,Lula,47,Ronaldo Caiado,40
BR-01166/2026,BR-01166/2026,Datafolha,2026-07-24,Lula vs Zema,Lula,48,Romeu Zema,40
BR-01489/2026,BR-01489/2026,BTG/Nexus,2026-07-27,Lula vs Flávio,Lula,47,Flávio Bolsonaro,43
BR-01489/2026,BR-01489/2026,BTG/Nexus,2026-07-27,Lula vs Caiado,Lula,45,Ronaldo Caiado,43
BR-01489/2026,BR-01489/2026,BTG/Nexus,2026-07-27,Lula vs Zema,Lula,46,Romeu Zema,42
BR-01489/2026,BR-01489/2026,BTG/Nexus,2026-07-27,Lula vs Renan,Lula,47,Renan Santos,39
BR-08602/2026,BR-08602/2026,AtlasIntel,2026-07-29,Lula vs Flávio,Lula,49.2,Flávio Bolsonaro,42.9
BR-08602/2026,BR-08602/2026,AtlasIntel,2026-07-29,Lula vs Jair,Lula,49.2,Jair Bolsonaro,43.9
BR-08602/2026,BR-08602/2026,AtlasIntel,2026-07-29,Lula vs Michelle,Lula,48.8,Michelle Bolsonaro,42.5
BR-08602/2026,BR-08602/2026,AtlasIntel,2026-07-29,Lula vs Zema,Lula,48.6,Romeu Zema,39.6
BR-08602/2026,BR-08602/2026,AtlasIntel,2026-07-29,Lula vs Caiado,Lula,48.2,Ronaldo Caiado,38.9
BR-08602/2026,BR-08602/2026,AtlasIntel,2026-07-29,Lula vs Renan,Lula,47.6,Renan Santos,30.2
BR-08602/2026,BR-08602/2026,AtlasIntel,2026-07-29,Haddad vs Flávio,Fernando Haddad,44.3,Flávio Bolsonaro,43.7
BR-08602/2026,BR-08602/2026,AtlasIntel,2026-07-29,Alckmin vs Flávio,Geraldo Alckmin,45.8,Flávio Bolsonaro,42.7
BR-07845/2026,BR-07845/2026,PoderData/Aya,2026-07-30,Lula vs Flávio,Lula,46,Flávio Bolsonaro,43
BR-01084/2026,BR-01084/2026,Vox Brasil,2026-07-31,Lula vs Flávio,Lula,47.5,Flávio Bolsonaro,41.1
